;ÇlÇrÇVÇOÉ}ÉbÉv
(36,36) ; É}ÉbÉvÇÃëSëÃÉTÉCÉY(Çw: 0Å`35, Çx: 0Å`35)
;-< 0>-< 1>-< 2>-< 3>-< 4>-< 5>-< 6>-< 7>-< 8>-< 9>-<10>-<11>-<12>-<13>-<14>-<15>-<16>-<17>-<18>-<19>-<20>-<21>-<22>-<23>-<24>-<25>-<26>-<27>-<28>-<29>-<30>-<31>-<32>-<33>-<34>-<35>
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,   1,   1,   1,2901,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ; 0
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,   1,   1,   1,   1,   1,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ; 1
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ; 2
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ; 3
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ; 4
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ; 5
    0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0, ; 6
    0,   0,   0,   0,   0,   0,   0,   0,   1,   1,   1,   1,   1,   1,  80,  80,  80,   6,   6,  80,  80,  80,   1,   1,   1,   1,   1,   1,   0,   0,   0,   0,   0,   0,   0,   0, ; 7
    0,   0,   0,   0,   0,   0,   0,   1,   1,   1,   1,   1,   1,   1,  80,  80,  80,   6,   6,  80,  80,  80,   1,   1,   1,   1,   1,   1,   1,   0,   0,   0,   0,   0,   0,   0, ; 8
    0,   0,   0,   0,   0,   0,   1,   1,   1,   1,   1,   1,   1,   1,  80,  80,  80,   6,   6,  80,  80,  80,   1,   1,   1,   1,   1,   1,   1,   1,   0,   0,   0,   0,   0,   0, ; 9
    0,   0,   0,   0,   0,   1,   1,   1,   1,   1,   1,   1,   1,  80,  80,  80,  80,   6,   6,  80,  80,  80,  80,   1,   1,   1,   1,   1,   1,   1,   1,   0,   0,   0,   0,   0, ;10
    0,   0,   0,   0,   1,   1,   1,   1,   1,   1,   1,   1,  80,  80,  80,  80,  80,   6,   6,  80,  80,  80,  80,  80,   1,   1,   1,   1,   1,   1,   1,   1,   0,   0,   0,   0, ;11
    0,   0,   0,   1,   1,   1,   1,   1,   1,   1,   1,  80,  80,  80,  80,  80,   1,   1,   1,   1,  80,  80,  80,  80,  80,   1,   1,   1,   1,   1,   1,   1,   1,   0,   0,   0, ;12
    0,   0,   1,   1,   1,   1,   1,   1,   1,   1,  80,  80,  80,  80,  80,   1,   1,   1,   1,   1,   1,  80,  80,  80,  80,  80,   1,   1,   1,   1,   1,   1,   1,   1,   0,   0, ;13
    0,   1,   1,   1,   1,   1,   1,  80,  80,  80,  80,  80,  80,  80,   1,   1,   1,   1,   1,   1,   1,   1,  80,  80,  80,  80,  80,  80,  80,   1,   1,   1,   1,   1,   1,   0, ;14
    1,   1,   1,   1,   1,   1,   1,  80,  80,  80,  80,  80,  80,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,  80,  80,  80,  80,  80,  80,   1,   1,   1,   1,   1,   1,   1, ;15
    1,   1,   1,   1,   1,   1,   1,  80,  80,  80,  80,  80,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,  80,  80,  80,  80,  80,   1,   1,   1,   1,   1,   1,   1, ;16
    1,   1,   1,   1,   1,   1,   1,   6,   6,   6,   6,   6,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   6,   6,   6,   6,   6,   1,   1,   1,   1,   1,   1,   1, ;17
    1,   1,   1,   1,   1,   1,   1,   6,   6,   6,   6,   6,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   6,   6,   6,   6,   6,   1,   1,   1,   1,   1,   1,   1, ;18
    1,   1,   1,   1,   1,   1,   1,  80,  80,  80,  80,  80,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,  80,  80,  80,  80,  80,   1,   1,   1,   1,   1,   1,   1, ;19
    1,   1,   1,   1,   1,   1,   1,  80,  80,  80,  80,  80,  80,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,  80,  80,  80,  80,  80,  80,   1,   1,   1,   1,   1,   1,   1, ;20
    0,   1,   1,   1,   1,   1,   1,  80,  80,  80,  80,  80,  80,  80,   1,   1,   1,   1,   1,   1,   1,   1,  80,  80,  80,  80,  80,  80,  80,   1,   1,   1,   1,   1,   1,   0, ;21
    0,   0,   1,   1,   1,   1,   1,   1,   1,   1,  80,  80,  80,  80,  80,   1,   1,   1,   1,   1,   1,  80,  80,  80,  80,  80,   1,   1,   1,   1,   1,   1,   1,   1,   0,   0, ;22
    0,   0,   0,   1,   1,   1,   1,   1,   1,   1,   1,  80,  80,  80,  80,  80,   1,   1,   1,   1,  80,  80,  80,  80,  80,   1,   1,   1,   1,   1,   1,   1,   1,   0,   0,   0, ;23
    0,   0,   0,   0,   1,   1,   1,   1,   1,   1,   1,   1,  80,  80,  80,  80,  80,   6,   6,  80,  80,  80,  80,  80,   1,   1,   1,   1,   1,   1,   1,   1,   0,   0,   0,   0, ;24
    0,   0,   0,   0,   0,   1,   1,   1,   1,   1,   1,   1,   1,  80,  80,  80,  80,   6,   6,  80,  80,  80,  80,   1,   1,   1,   1,   1,   1,   1,   1,   0,   0,   0,   0,   0, ;25
    0,   0,   0,   0,   0,   0,   1,   1,   1,   1,   1,   1,   1,   1,  80,  80,  80,   6,   6,  80,  80,  80,   1,   1,   1,   1,   1,   1,   1,   1,   0,   0,   0,   0,   0,   0, ;26
    0,   0,   0,   0,   0,   0,   0,   1,   1,   1,   1,   1,   1,   1,  80,  80,  80,   6,   6,  80,  80,  80,   1,   1,   1,   1,   1,   1,   1,   0,   0,   0,   0,   0,   0,   0, ;27
    0,   0,   0,   0,   0,   0,   0,   0,   1,   1,   1,   1,   1,   1,  80,  80,  80,   6,   6,  80,  80,  80,   1,   1,   1,   1,   1,   1,   0,   0,   0,   0,   0,   0,   0,   0, ;28
    0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0, ;29
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ;30
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ;31
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ;32
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ;33
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,   1,   1,   1,   1,   1,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ;34
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,   1,   1,   1,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ;35
;
BG_MAX(720, 416) ; ÇaÇfÇÃç≈ëÂÉTÉCÉY  (45*16, 26*16)
BG_ROUT(128, 56) ; É}ÉbÉvç∂è„å¥ì_ÇÃÇaÇfè„ÇÃÉhÉbÉgà íu(8*16, 3*16+8)
BG_CHG(0, 15)    ; BG_ROUTÇÃç¿ïWÅiè»ó™éûÇÕÇOÅAÇOÅj
SPR_CHG(384,392) ; ÉXÉvÉâÉCÉgÇÃïœä∑ç¿ïWÅiè»ó™éûÇÕÇOÅAÇWÅj
;
;ínå`ñº
;GND(27,"ì¡éÍçáã‡ÇÃè∞")           ; ínå`ñºÇP(ÇlÇ`ÇwÇUï∂éö)
GND(01,"@[MS70-gnd-0]")           ; ínå`ñºÇP(ÇlÇ`ÇwÇUï∂éö)
GND(06,"@[MS70-gnd-1]")               ; ínå`ñºÇP(ÇlÇ`ÇwÇUï∂éö)

