;ÇlÇrÇQÇP
(41, 38) ;ÇlÇ`ÇoëSëÃÉTÉCÉY(X:0-40, Y:0-37)
;-< 0>-< 1>-< 2>-< 3>-< 4>-< 5>-< 6>-< 7>-< 8>-< 9>-<10>-<11>-<12>-<13>-<14>-<15>-<16>-<17>-<18>-<19>-<20>-<21>-<22>-<23>-<24>-<25>-<26>-<27>-<28>-<29>-<30>-<31>-<32>-<33>-<34>-<35>-<36>-<37>-<38>-<39>-<40>
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   5,   5,   5,   5,   5,   5,   5,   5,   5,  90,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ; 0
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ; 1
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  90,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,  90,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ; 2
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  90,  90,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,  90,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ; 3
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  90,  90,  90,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,  90,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ; 4
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  90,  90,  90,  90,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,  90,  90,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ; 5
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  90,  90,  90,  90,  90,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,  90,  90,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ; 6
    0,   0,   0,   0,   0,   0,   0,   0,   0,   5,   5,   5,  90,  90,  90,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,  90,   0,   0,   0,   0,   0,   0,   0,   0,   0, ; 7
    0,   0,   0,   0,   0,   0,   0,   0,  80,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,  80,9905,9905,   5,   5,  90,   0,   0,   0,   0,   0,   0,   0,   0,   0, ; 8
    0,   0,   0,   0,   0,   0,   0,  80,  80,   5,   8,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,  80,  80,   5,   5,   5,   5,  90,   0,   0,   0,   0,   0,   0,   0,   0,   0, ; 9
    0,   0,   0,   0,   0,   0,  90,  80,   5,   5,   8,   5,  90,  90,  90,  90,   5,   5,   5,   5,   5,   5,   5,   5,   5,  80,   5,   5,   5,   5,   5,   5,   5,   5,   5,   0,   0,   0,   0,   0,   0, ;10
    0,   0,   0,   0,   0,   5,  80,  80,   5,   8,   8,   5,  90,  90,  90,  90,   5,   5,   5,   5,   5,   5,   5,   5,  80,  80,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   0,   0,   0,   0,   0, ;11
    0,   0,   0,   0,  90,   5,  80,  80,   5,   5,   8,   5,  90,  90,  90,  90,   5,   5,   5,   5,   5,   5,   5,   5,  80,  80,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   0,   0,   0,   0, ;12
    0,   0,   0,  90,   5,   5,  80,   5,   5,   5,   5,   5,  90,  90,  90,  90,   5,   5,   5,   5,   5,   5,   5,   5,  80,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   0,   0,   0, ;13
    0,   0,  90,   5,   5,   5,  80,   5,   5,  80,  80,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,  80,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   0,   0, ;14
    0,  90,   5,   5,   5,   5,  80,   5,   5,  80,  80,  80,  80,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,  80,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   0, ;15
    5,   5,   5,   5,   5,   5,  80,  80,   5,   5,   5,   5,  80,  80,  80,   5,   5,   5,   5,   5,   5,   5,   5,   5,  80,  80,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5, ;16
    5,   5,   5,   5,   5,   5,   5,  80,   5,   5,   5,   5,   5,9905,  80,  80,  80,  80,  80,   5,   5,   5,   5,   5,   5,  80,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5, ;17
    5,   5,   5,   8,   5,   5,   5,  80,   5,   5,   5,   5,  80,9905,   5,   5,   5,  80,  80,  80,  80,  80,   5,   5,   5,  80,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5, ;18
    5,   5,   8,   8,   8,   5,   5,  80,  80,   5,   5,   5,  80,   5,   5,   5,   5,   5,   5,   5,  80,  80,  80,  80,   5,  80,  80,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5, ;19
    5,   5,   8,   8,   8,   8,   5,   5,  80,   5,   5,   5,  80,  80,   5,   5,   8,   8,   8,   5, 305,   5,   5,   5,   5,   5,  80,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5, ;20
    5,   5,   8,   8,   8,   8,   5,   5,  80,   5,   5,   5,  80,  80,   5,   5,   5,   8,   8,   8,   5,   5,   5,   5,   5,   5,  80,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5, ;21
    5,   5,   5,   8,   8,   8,   5,   5,  80,  80,   5,   5,   8,  80,  80,  80,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,  80,  80,   5,   5,   5,   5,   5,  90,  90,  90,  90,  90,  90,  90,  90, ;22
   90,   5,   5,   5,   5,   8,   5,   5,   5,  80,   5,   5,  80,  80,   8,  80,9905,9905,   5,   5,   5,   5,   5,   5,   5,   5,   5,  80,   5,   5,   5,   5,   5,  90,  90,  90,  90,  90,  90,  90,   0, ;23
   90,   5,   5,   5,   5,   5,   5,   5,   5,  80,   5,   5,  80,   8,   8,  80,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,  80,   5,   5,   5,   5,   5,  90,  90,  90,  90,  90,  90,   0,   0, ;24
   90,  90,   5,   5,   5,   5,  80,9905,9905,  80,9905,9905,  80,   8,   8,  80,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,  80,   5,   5,   5,   5,   5,  90,  90,  90,  90,  90,   0,   0,   0, ;25
   90,  90,  90,   5,   5,  80,  80,   5,   5,   5,   5,  80,  80,   8,   5,  80,  80,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,9905,   5,   5,   5,   5,  90,  90,  90,  90,   0,   0,   0,   0, ;26
    0,  90,  90,  90,  90,  80,   5,   5,   5,   5,   5,  80,   5,   5,   5,  80,  80,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,9905,9905,   5,   5,   5,  90,  90,  90,   0,   0,   0,   0,   0, ;27
    0,   0,  90,  90,  90,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,  80,  80,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,9905,   5,   5,   5,  90,  90,   0,   0,   0,   0,   0,   0, ;28
    0,   0,   0,  90,  90,   5,   5,   5,   5,   5,   5,   5,   5,   8,   8,3005,  80,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,  90,   0,   0,   0,   0,   0,   0,   0, ;29
    0,   0,   0,   0,  90,  90,  90,  90,   5,   5,   5,   5,   5,   8,   8,   8,  80,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   0,   0,   0,   0,   0,   0,   0,   0, ;30
    0,   0,   0,   0,   0,  90,  90,  90,   5,   5,   5,   5,   5,   5,   8,   5,   5,9905,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,  90,  90,   0,   0,   0,   0,   0,   0,   0,   0,   0, ;31
    0,   0,   0,   0,   0,   0,  90,  90,   5,   5,   5,   5,   5,   5,   5,   5,   5,9905,   5,  80,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,  90,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ;32
    0,   0,   0,   0,   0,   0,   0,  90,  90,   5,   5,   5,   5,   5,   5,   5,   5,   5,  80,  80,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ;33
    0,   0,   0,   0,   0,   0,   0,   0,  90,  90,  90,   5,   5,   5,   5,   5,   5,   5,  80,   5,   5,   5,   5,   5,   5,   5,   5,   5,  90,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ;34
    0,   0,   0,   0,   0,   0,   0,   0,   0,  90,  90,   5,   5,   5,   5,   5,   5,  80,  80,   5,   5,   5,   5,   5,   5,   5,   5,   5,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ;35
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  90,   5,   5,   5,   5,   5,   5,  80,  80,   5,   5,   5,   5,   5,   5,  90,  90,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ;36
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   5,   5,   5,   5,   5,   5,  80,   5,   5,   5,   5,   5,   5,   5,  90,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ;37
;
;
BG_MAX(912, 456) ; BGÇÃç≈ëÂÉTÉCÉY                    (57*16, 28*16+8)
BG_ROUT(384, 56) ; É}ÉbÉvç∂è„å¥ì_ÇÃÇaÇfè„ÇÃÉhÉbÉgà íu(24*16, 3*16+8)
BG_CHG(5, 11)    ; BG_ROUTÇÃç¿ïWÅiè»ó™éûÇÕÇOÅAÇOÅj
SPR_CHG(384,392) ; ÉXÉvÉâÉCÉgÇÃïœä∑ç¿ïWÅiè»ó™éûÇÕÇOÅAÇWÅj
;
;îjâÛè·äQï®ñºÅAÇTå¬Ç‹Ç≈ê›íËâ¬î\
OBS(99,"@[MS21-obj-0]")     ; îjâÛè·äQï®ñºÇP(ÇlÇ`ÇwÇUï∂éö)
;
;ínå`ñº
;GND(31,"êØÇÃçªín")       ; ínå`ñºÇP(ÇlÇ`ÇwÇUï∂éö)
GND(05,"@[MS21-gnd-1]")        ; ínå`ñºÇP(ÇlÇ`ÇwÇUï∂éö)
GND(08,"@[MS21-gnd-2]")      ; ínå`ñºÇP(ÇlÇ`ÇwÇUï∂éö)

