;ÇlÇrÇPÇQÉ}ÉbÉv
(45,34) ; É}ÉbÉvÇÃëSëÃÉTÉCÉY(Çw: 0Å`44, Çx: 0Å`33)
;-< 0>-< 1>-< 2>-< 3>-< 4>-< 5>-< 6>-< 7>-< 8>-< 9>-<10>-<11>-<12>-<13>-<14>-<15>-<16>-<17>-<18>-<19>-<20>-<21>-<22>-<23>-<24>-<25>-<26>-<27>-<28>-<29>-<30>-<31>-<32>-<33>-<34>-<35>-<36>-<37>-<38>-<39>-<40>-<41>-<42>-<43>-<44>
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,  90,  90,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ; 0
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,  90,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ; 1
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,  90,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ; 2
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  90,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,  90,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ; 3
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  90,  90,   5,   5,   5,   5,   5,   5,   6,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ; 4
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  90,  90,  90,   5,   5,   5,   5,   5,   5,   6,   6,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,  90,   0,   0,   0,   0,   0,   0,   0,   0,   0, ; 5
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  90,  90,   5,   5,   5,   5,   5,   5,   5,   5,   5,   6,   6,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,  90,   0,   0,   0,   0,   0,   0,   0,   0, ; 6
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  90,  90,  90,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,  90,  90,   0,   0,   0,   0,   0,   0,   0, ; 7
    0,   0,   0,   0,   0,   0,   0,   0,   0,  90,  90,  90,  90,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   6,   6,   6,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,  90,  90,  90,   0,   0,   0,   0,   0,   0, ; 8
    0,   0,   0,   0,   0,   0,   0,   0,  90,  90,  90,  80,  80,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   6,   6,   6,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,  90,  90,  90,   0,   0,   0,   0,   0, ; 9
    0,   0,   0,   0,   0,   0,   0,  90,  90,  90,  90,  80,  80,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,  80,  80,  80,  80,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,  90,  90,  90,   0,   0,   0,   0, ;10
    0,   0,   0,   0,   0,   0,  90,  90,  90,  90,  90,  80,  80,  80,  80,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,  80,  80,  80,  80,  80,   5,   5,   5,   5,   5,   5,   5,   5,   5,  90,  90,  90,   0,   0,   0, ;11
    0,   0,   0,   0,   0,  90,  90,   5,   5,   5,   5,  80,  80,  80,  80,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,  80,  80,  80,  80,   5,   5,   5,   5,   5,   5,   5,  90,  90,  90,  90,   0,   0, ;12
    0,   0,   0,   0,  90,  90,  90,   5,   5,   5,   5,   5,   5,  80,  80,  80,   5,   5,   5,   5,   5,   5,   5,   5,   5,   6,   6,   5,   5,   5,  80,  80,   5,   5,   5,   5,   5,   5,   5,  90,  90,  90,  90,  90,   0, ;13
    0,   0,   0,  90,  90,  90,  90,   5,   5,   5,   5,   5,   5,   5,  80,  80,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   6,   6,   5,   5,   6,  80,  80,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5, ;14
    0,   0,  90,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,  80,  80,  80,   5,   5,   5,   5,   5,   5,   5,   5,   5,   6,   6,   5,   6,   6,   6,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5, ;15
    0,  90,  90,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,  80,  80,  80,  80,   5,   5,   5,   5,   5,   5,   5,   6,   6,   5,   6,   6,   6,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5,   5, ;16
