;ÇlÇrÇQÇRÉ}ÉbÉvÅiÉAÉCÉeÉÄÇÃç∑Åj
(44,49) ; É}ÉbÉvÇÃëSëÃÉTÉCÉY(Çw:0-43, Çx:0-48)
;-< 0>-< 1>-< 2>-< 3>-< 4>-< 5>-< 6>-< 7>-< 8>-< 9>-<10>-<11>-<12>-<13>-<14>-<15>-<16>-<17>-<18>-<19>-<20>-<21>-<22>-<23>-<24>-<25>-<26>-<27>-<28>-<29>-<30>-<31>-<32>-<33>-<34>-<35>-<36>-<37>-<38>-<39>-<40>-<41>-<42>-<43>
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,  90,  90,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ; 0
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  90,   1,  45,   1,  90,  90,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ; 1
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,   1,   1,   1,   1,   1,  90,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ; 2
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  90,   1,   1,   1,   1,   1,   1,   1,   1,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ; 3
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  90,  90,  90,   1,   1,   1,   1,   1,   1,   1,   1,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ; 4
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  90,  90,  90,  90,  90,   1,   1,   1,   1,   1,   1,   1,   1,  90,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ; 5
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  90,  90,  90,  90,  90,  90,  90,   1,   1,   1,   1,   1,   1,   1,1701,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ; 6
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,   1,   1,   1,   1,   1,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ; 7
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,   1,   1,  45,   1,   1,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ; 8
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,   1,   1,   1,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ; 9
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,   1,   1,   1,   1,  90,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ;10
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,   1,   1,   1,  90,  90,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ;11
    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,   1,   1,   1,  90,  90,  90,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, ;12
    0,   0,   0,   0,   0,   0,   0,   0,   0,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,   1,   1,   1,  90,  90,  90,  90,   0,   0,   0,   0,   0,   0,   0,   0,   0, ;13
    0,   0,   0,   0,   0,   0,   0,   0,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,   0,   0,   0,   0,   0,   0,   0,   0, ;14
    0,   0,   0,   0,   0,   0,   0,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,   0,   0,   0,   0,   0,   0,   0, ;15
    0,   0,   0,   0,   0,   0,  90,  90,  90,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,   0,   0,   0,   0,   0,   0, ;16
    0,   0,   0,   0,   0,  90,  90,  90,  90,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,  90,  90,  90,  90,  90,  90,  90,  90,  90,   1,   1,   0,   0,   0,   0,   0, ;17
    0,   0,   0,   0,  90,  90,  90,  90,  90,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,  90,  90,  90,  90,  90,  90,   1,   1,   1,   1,   1,   0,   0,   0,   0, ;18
    0,   0,   0,  90,  90,  90,  90,  90,  90,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,  90,  90,  90,  90,  90,  90,   1,   1,   1,   1,   1,   1,   0,   0,   0, ;19
    0,   0,  90,  90,  90,  90,  90,  90,  90,   1,   1,   1,   1,   1,   1,   1,   1,   1,  45,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,  90,  90,  90,  90,  90,  90,   1,   1,   1,   1,   1,   1,   1,   0,   0, ;20
    0,  90,  90,  90,  90,  90,  90,  90,  90,   1,   1,   1 ,  1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,  90,  90,  90,  90,  90,  90,  90,   1,   1,   1,   1,   1,   1,  90,   0, ;21
   90,  90,  90,  90,  90,  90,  90,  90,  90,  90,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,  90,  90,  90,  90,  90,  90,  90,   1,   1,   1,  45,   1,   1,  90,  90, ;22
   90,   1,   1,   1,   1,  90,  90,  90,  90,  90,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,  90,  90,  90,  90,  90,  90,  90,   1,   1,   1,   1,   1,   1,   1,  90, ;23
   90,   1,   1,   1,   1,  90,  90,  90,  90,  90,  90,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,   1,   1,   1,   1,   1,   1,   1, ;24
    1,   1,   1,   1,   1,  90,  90,  90,  90,  90,  90,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,  90,  90,  90,  90,  90,  90,  90,  90,  90,  90,   1,   1,   1,   1,   1,   1,   1, ;25
