"","","","","//==================================
// Additional status screen labels
//==================================","","","",""
"string","status-label-0",,,,,,,
"string","status-label-1",,,,,,,
"","","","","//==================================
// Standardized technique descriptions
//==================================","","","",""
"string","techdesc-0-0",,,"ガンを連続発射し
複数の敵を攻撃",,,"=IF(F5=I5, ""UNTRANSLATED"", """")",
"string","techdesc-0-1",,,"全ての敵を焼き払う
ミラージュの援護射撃",,,"=IF(F6=I6, ""UNTRANSLATED"", """")",
"string","techdesc-0-2",,,"光の力を極限まで
開放する究極の攻撃技",,,"=IF(F7=I7, ""UNTRANSLATED"", """")",
"string","techdesc-1-0",,,"思いやりの力で
周囲の味方をＨＰ回復",,,"=IF(F8=I8, ""UNTRANSLATED"", """")",
"string","techdesc-1-1",,,"腕を超高速回転させて
必殺パンチを繰り出す",,,"=IF(F9=I9, ""UNTRANSLATED"", """")",
"string","techdesc-1-2",,,"ユーリィが分身して
全ての敵に体当たり",,,"=IF(F10=I10, ""UNTRANSLATED"", """")",
"string","techdesc-2-0",,,"超能力で瞬間移動
",,,"=IF(F11=I11, ""UNTRANSLATED"", """")",
"string","techdesc-2-1",,,"遠距離からも
仲間のＨＰを回復",,,"=IF(F12=I12, ""UNTRANSLATED"", """")",
"string","techdesc-2-2",,,"ペットのミルキーが
ライン上の敵に体当り",,,"=IF(F13=I13, ""UNTRANSLATED"", """")",
"string","techdesc-3-0",,,"両肩の爆光球で攻撃
マヒの追加効果",,,"=IF(F14=I14, ""UNTRANSLATED"", """")",
"string","techdesc-3-1",,,"呼び出したキープ君が
ランダムな効果で援護",,,"=IF(F15=I15, ""UNTRANSLATED"", """")",
"string","techdesc-3-2",,,"命中率は低いけど
当たれば必殺ダメージ",,,"=IF(F16=I16, ""UNTRANSLATED"", """")",
"string","techdesc-4-0",,,"周囲にいる敵全ての
移動力を減少させる",,,"=IF(F17=I17, ""UNTRANSLATED"", """")",
"string","techdesc-4-1",,,"ＨＰを１ターン毎に
ゆっくりと回復",,,"=IF(F18=I18, ""UNTRANSLATED"", """")",
"string","techdesc-4-2",,,"レーザーを発射し
ライン攻撃する",,,"=IF(F19=I19, ""UNTRANSLATED"", """")",
"string","techdesc-5-0",,,"超能力で鉄塊を操り
複数の敵を攻撃",,,"=IF(F20=I20, ""UNTRANSLATED"", """")",
"string","techdesc-5-1",,,"強力な酸で攻撃
防御力を徐々に削る",,,"=IF(F21=I21, ""UNTRANSLATED"", """")",
"string","techdesc-5-2",,,"ダンスを舞うような
華麗な連続攻撃",,,"=IF(F22=I22, ""UNTRANSLATED"", """")",
"string","techdesc-6-0",,,"中国４千年の力で
異常状態を回復",,,"=IF(F23=I23, ""UNTRANSLATED"", """")",
