,,,,"//==================================
// World map overlay strings
//==================================",,,
string,worldmap-0x20,Ryudia: {,},元気そうね　ユナ,"Are you well, Yuna?",,
string,worldmap-0x40,Yuna: {,},"リ　リューディアさん!?
わぁ　久しぶり　元気だったぁ!?","R-Ryudia!?\n
Wow, it's been so long!\n
Are you doing okay!?",,
string,worldmap-0x7C,Ryudia: {,},"ええ……
私は今回　戦闘に参加できないけれど
できるだけの協力はするわ！","Yes...\n
While I'm unable to participate in the fighting this time, I'll support you as much as I can!",,
string,worldmap-0xD4,{,},"アイテムの調達は私にまかせて
ちょうだい！　それと私の方でも
他の仲間を捜してみるわ!!","Leave procuring items to me!\n
Additionally, I will search for your other allies!",,
string,worldmap-0x12C,{,},"アイテムと見つけた仲間は
すぐに転送するから安心して!!","I'll warp any items or allies I find to you immediately, so fear not!",,
string,worldmap-0x164,Yuna: {,},ありがと！　リューディアさん!!,"Thank you, Ryudia!",,
string,worldmap-0x194,Elner: {,},"そういえば　ユナ
ママとは連絡をとってるんですか？","By the way, Yuna, have you talked to your mother?",NOTE: this dialogue appears after you go to a training area (or at least the first training planet) if you haven't gone to yuna's house since leaving earth,
string,worldmap-0x1D8,Yuna: {,},"ううん……パパとママ今頃
どうしてるのかな…",No...I wonder what Papa and Mama are up to right now...,,
string,worldmap-0x218,,,へ,To: ,,
string,worldmap-0x230,,,ＰＮ：ＳＨＩＮＹＡ,SHINYA (pen name),"NOTE: this guy's art is the best by far, which may explain why they put it first in the list",
string,worldmap-0x244,,,ＰＮ：風村　沙葵,"Saki Kazamura (pen name)\n
(I want to be Lady Erika's manservant!)","NOTE: all these name readings are complete guesses; AFAIK these are basically complete nobodies who sent in fan art, so good luck finding the actual readings anywhere
CHECK, not 100% sure about the second kanji in 下僕(?)",
string,worldmap-0x258,,,福田　和仁,"Kazuhito Fukuda\n
(Cat ears are nice, but nurses are good too!\n
To Shiorin[nbsp]❤)",,
string,worldmap-0x264,,,井口　幹教,Mikinori Iguchi,,
string,worldmap-0x270,,,伊東　涼太,"Ryouta Itou\n
(To Yunarin: Please be my friend.\n
Well, goodbye.)",,
string,worldmap-0x27C,,,ＰＮ：Ｓｈｅｌｌ,Shell (pen name),,
