,,,,"//==================================
// Map MS01
//==================================",,,
string,MS01-obj-0,,,花壇,Flowerbed,,
string,MS01-obj-1,,,ゴミ箱,Garbage Can,,
string,MS01-gnd-2,,,道路,Path,"NOTE: this is actually referring to a sidewalk, not a paved road",
,,,,"//==================================
// Map MS02
//==================================",,,
string,MS02-obj-0,,,木,Tree,,
string,MS02-gnd-1,,,芝生,Lawn,,
string,MS02-gnd-2,,,歩道,Sidewalk,,
string,MS02-gnd-3,,,割れた歩道,Cracked Sidewalk,,
,,,,"//==================================
// Map MS03
//==================================",,,
string,MS03-obj-0,,,ライト,Light,,
string,MS03-gnd-1,,,タイルの床,Tile Floor,,
,,,,"//==================================
// Map MS04
//==================================",,,
string,MS04-obj-0,,,ガレキ,Rubble,,
string,MS04-gnd-1,,,滑走路,Runway,,
,,,,"//==================================
// Map MS05
//==================================",,,
string,MS05-obj-0,,,門,Gate,,
string,MS05-gnd-1,,,道路,Road,"NOTE: originally dupe of MS01-gnd-2. however, in this case, we actually are talking about a ""road"" and not a ""path"", so i've translated it differently.",
string,MS05-gnd-2,,,砂利の道路,Road Rubble,,
,,,,"//==================================
// Map MS06
//==================================",,,
string,MS06-gnd-0,,,宇宙空間,Outer Space,,
,,,,"//==================================
// Map MS07
//==================================",,,
string,MS07-obj-0,,,切り株,Stump,,
string,MS07-obj-1,,,草,Plant,"NOTE: the object this is associated with looks like a bush, so i'm going with ""plant"" rather than ""grass"" for this",
string,MS07-obj-2,,,木,Tree,DUPE: F6,
string,MS07-gnd-3,,,ぬかるみ,Muck,,
string,MS07-gnd-4,,,平地,Level Ground,,
string,MS07-gnd-5,,,荒れた芝,Wild Grass,,
,,,,"//==================================
// Map MS08
//==================================",,,
string,MS08-gnd-0,,,お菓子の地面,Candy Ground,,
string,MS08-gnd-1,,,壊れたお菓子,Destroyed Candy,,
,,,,"//==================================
// Map MS09
//==================================",,,
string,MS09-gnd-0,,,アイスバーン,Iced Snow,,
string,MS09-gnd-1,,,積もった雪,Snowdrift,,
,,,,"//==================================
// Map MS10
//==================================",,,
string,MS10-obj-0,,,岩,Rock,,
string,MS10-gnd-1,,,砂漠,Desert,,
string,MS10-gnd-2,,,マグマ,Magma,,
